vehicle_type,energy_consumption,co2_emissions_g_per_km,maintenance_cost_annual,cost_per_km,energy_storage_capacity,mileage_km,acceleration_0_100_kph_sec,torque_Nm,lifespan_years
ICE,6.07,153.24,80281.86,0.23,52.11,119309.85,9.93,275.59,9.29
ICE,8.55,163.84,80110.26,0.24,40.77,86561.86,8.87,175.28,7.34
ICE,8.0,123.04,76180.88,0.2,50.66,259735.34,9.2,245.67,11.71
EV,13.85,8.2,56295.3,0.13,57.3,150882.92,6.82,365.71,13.94
EV,16.56,0.08,64898.63,0.13,43.69,153704.39,5.78,323.79,11.95
ICE,8.65,119.65,62327.3,0.31,50.12,171030.36,8.78,235.17,9.32
ICE,7.24,106.54,63226.52,0.22,70.52,234269.14,11.62,260.43,12.19
EV,15.23,1.34,53405.89,0.13,50.5,90721.1,7.48,254.42,12.19
ICE,5.87,139.87,81809.13,0.19,54.42,189698.52,10.24,123.16,11.0
ICE,7.95,187.01,73550.13,0.25,42.52,155199.08,9.21,243.0,12.69
ICE,8.08,146.52,72331.11,0.26,39.44,225600.53,8.51,191.93,10.44
ICE,8.74,188.5,85568.1,0.26,59.34,168716.92,9.15,191.84,9.06
EV,16.28,0.7,54736.32,0.16,71.68,188761.81,6.58,363.04,10.24
EV,15.66,1.19,48522.2,0.16,70.8,165150.63,4.45,205.69,11.47
ICE,5.98,172.68,85350.01,0.28,46.85,135813.27,6.44,181.71,12.38
EV,15.47,-8.08,64641.77,0.1,58.23,129955.71,5.39,192.35,12.03
EV,12.84,1.07,49685.61,0.12,68.5,141454.89,5.8,303.69,9.68
ICE,8.52,203.48,80660.97,0.29,39.49,157457.87,9.81,194.31,11.37
EV,15.26,6.18,49184.77,0.14,79.29,171724.1,6.49,258.29,13.59
ICE,9.2,165.06,99438.92,0.4,62.32,182487.17,10.94,137.21,10.66
ICE,7.66,96.76,79937.86,0.23,43.41,170105.96,9.43,201.62,10.8
ICE,6.29,118.81,91245.47,0.3,61.52,246076.57,11.09,210.06,11.44
EV,13.38,9.13,52602.81,0.1,62.24,133286.08,6.07,319.85,12.46
ICE,5.57,85.43,89388.98,0.19,39.94,120402.55,8.92,110.41,10.92
EV,15.41,-2.0,42333.43,0.12,75.53,151103.48,5.67,284.4,9.35
ICE,5.84,117.77,52459.92,0.27,46.82,178302.06,8.39,255.96,7.22
ICE,8.36,153.01,86798.33,0.23,55.31,142240.6,10.16,177.98,10.43
EV,15.36,2.14,60964.69,0.12,68.12,185025.29,7.59,333.13,11.47
ICE,4.85,124.01,76084.87,0.3,44.14,165172.08,8.49,179.16,9.66
EV,14.62,0.75,57408.24,0.13,86.3,145974.59,5.79,353.06,10.22
EV,15.52,-9.99,39281.43,0.14,64.1,116347.47,6.09,296.81,14.33
ICE,7.33,89.54,69858.94,0.33,39.15,150963.28,5.89,229.6,9.4
EV,17.13,-4.94,30723.27,0.08,67.2,142042.87,5.46,311.71,12.53
ICE,8.3,139.63,89348.54,0.28,41.44,167054.04,8.32,204.71,8.5
EV,14.01,12.46,59788.58,0.05,65.7,163700.64,7.47,267.91,16.42
EV,11.97,-4.84,55885.53,0.17,69.37,201935.09,7.28,198.75,13.89
ICE,8.38,173.19,80226.85,0.24,71.1,145646.23,8.52,140.88,11.7
ICE,8.1,92.83,58533.29,0.2,45.88,228465.59,11.57,220.05,11.05
ICE,5.61,88.84,118704.38,0.16,29.06,225318.25,7.79,265.28,10.26
ICE,7.5,146.06,86311.5,0.28,42.11,149409.27,6.51,261.15,7.94
ICE,5.46,169.51,75420.36,0.29,50.21,183659.2,8.82,164.62,10.92
ICE,8.73,167.92,81083.74,0.2,57.46,200547.01,7.46,219.87,8.68
ICE,7.89,141.39,85565.81,0.24,59.47,171492.41,10.19,232.07,12.32
EV,15.44,11.16,53584.54,0.13,83.25,147398.97,7.34,328.24,10.36
EV,16.5,5.25,48089.72,0.17,59.6,174505.11,5.66,334.36,12.02
EV,16.64,6.92,41891.42,0.11,67.03,134892.91,7.14,394.89,15.49
EV,13.69,-3.85,36696.86,0.1,91.96,103236.39,6.64,300.75,11.2
ICE,6.58,146.04,106161.55,0.2,34.72,201141.57,10.14,226.09,11.37
ICE,6.1,162.91,84744.11,0.17,61.57,193357.8,9.46,222.65,13.06
ICE,8.11,106.61,71132.8,0.29,51.05,160479.49,9.45,140.47,11.9
ICE,7.6,133.75,35498.7,0.3,36.95,159191.64,10.17,156.38,12.84
ICE,6.93,129.79,94416.4,0.27,51.44,186598.28,10.4,201.28,9.67
ICE,9.62,170.91,106659.42,0.26,56.18,162344.9,8.88,178.55,13.22
ICE,8.13,179.4,59907.23,0.23,40.12,90962.58,8.51,200.77,5.68
EV,18.19,9.37,54097.63,0.18,73.56,201477.23,5.35,436.1,14.04
ICE,9.74,153.78,81098.29,0.17,54.6,190784.15,11.42,224.04,9.23
EV,13.8,-2.44,40428.49,0.16,71.76,131406.84,4.56,319.77,12.61
ICE,5.22,108.43,82705.08,0.23,48.47,186422.48,9.54,156.65,10.03
ICE,5.21,126.96,70546.52,0.26,67.1,215983.95,9.91,196.49,9.34
EV,14.45,5.98,60729.78,0.12,73.23,195463.34,6.04,347.41,11.85
EV,9.76,4.98,43823.48,0.1,65.54,156025.35,7.71,336.59,7.86
EV,15.77,3.31,67495.84,0.12,56.43,131941.67,4.1,388.25,10.41
ICE,9.81,130.69,82924.52,0.27,43.64,159811.38,7.85,231.3,11.43
ICE,6.66,118.6,67853.97,0.32,69.44,151572.32,6.3,208.22,11.71
ICE,9.88,145.33,74523.01,0.27,50.85,148045.94,7.56,180.28,10.65
EV,15.34,-4.68,69625.87,0.1,69.19,136561.16,5.5,381.86,11.72
ICE,5.2,131.65,92328.82,0.27,63.07,198091.6,6.66,210.59,11.38
ICE,8.51,152.02,100493.22,0.26,61.26,164803.68,11.75,238.68,12.24
ICE,8.99,147.16,65106.97,0.21,31.37,166609.07,9.84,180.54,12.22
EV,17.71,-5.6,44172.41,0.13,63.67,143853.7,5.73,253.04,12.18
EV,13.07,10.28,55720.57,0.13,73.5,178917.21,5.19,283.67,13.66
EV,12.54,3.51,35324.75,0.11,70.04,130228.82,6.96,367.65,12.69
EV,13.9,1.44,61797.25,0.1,71.31,140970.59,5.38,157.5,8.79
ICE,6.81,71.26,72497.71,0.25,52.82,194379.44,7.83,204.35,10.08
ICE,4.84,200.19,63757.39,0.26,50.94,147387.56,8.69,233.81,10.8
ICE,9.22,150.37,112029.82,0.35,45.71,116626.9,9.42,150.51,10.49
EV,12.2,-4.09,46686.92,0.12,54.16,154962.11,6.44,337.67,15.79
EV,13.05,-3.27,45341.94,0.16,67.64,191729.17,5.74,340.5,13.24
EV,13.75,-10.76,64223.7,0.11,76.06,177312.55,5.68,299.22,8.19
EV,14.58,1.94,67389.0,0.16,75.09,197212.03,5.76,152.29,11.82
EV,11.66,6.11,51752.11,0.14,65.12,127621.74,5.65,349.27,11.53
ICE,7.73,187.97,89248.69,0.26,56.37,154876.09,10.77,163.67,4.94
EV,11.81,-5.23,42782.62,0.13,74.87,114367.04,6.33,268.49,12.47
ICE,8.31,195.93,94491.88,0.29,53.28,161201.69,9.29,231.88,6.48
ICE,6.54,138.56,79147.45,0.27,54.06,189759.45,9.17,225.17,9.74
EV,12.99,-12.96,52612.51,0.12,77.16,176847.32,5.76,343.2,13.91
EV,20.44,-5.52,50068.0,0.14,66.57,150470.93,6.88,263.78,11.49
EV,14.08,0.88,36807.53,0.1,80.22,130669.79,7.43,248.04,15.73
EV,12.97,-3.26,47354.85,0.07,65.19,86857.51,8.18,298.25,10.53
ICE,5.37,168.02,81023.1,0.31,69.01,152220.06,10.11,174.81,8.85
ICE,6.65,106.49,94768.89,0.25,56.12,168801.35,8.36,192.32,11.65
ICE,5.82,159.4,69280.04,0.22,45.38,158808.87,11.51,237.86,13.09
EV,18.29,-3.92,53038.19,0.1,78.46,144904.43,4.17,295.23,12.96
ICE,5.63,118.74,77882.75,0.24,63.18,142128.0,11.3,167.78,7.64
ICE,8.01,167.66,83100.16,0.22,60.78,159118.63,8.5,260.62,9.16
ICE,8.11,134.77,107512.02,0.33,57.26,168848.2,7.85,241.27,9.55
EV,15.75,-3.64,45080.98,0.11,83.1,163769.82,7.74,312.74,12.69
EV,14.63,0.9,63289.33,0.11,65.31,168383.72,5.18,342.54,9.64
ICE,6.29,158.35,62855.86,0.24,51.7,115443.94,8.82,181.0,13.85
ICE,8.48,137.81,89134.77,0.25,44.03,184053.09,10.41,199.74,7.93
EV,15.23,-4.49,81099.19,0.15,54.02,182463.37,6.98,147.77,13.6
ICE,6.28,169.16,79724.93,0.17,49.28,201700.17,6.91,210.06,14.04
ICE,8.36,141.13,62225.72,0.23,31.14,239690.58,8.99,167.44,10.09
ICE,9.04,194.35,89077.0,0.22,59.28,184118.61,9.14,220.71,13.44
ICE,7.07,176.68,93601.76,0.34,73.33,212988.07,11.27,215.98,8.99
EV,12.07,-0.4,49242.36,0.16,59.68,139622.42,6.74,214.2,17.27
ICE,7.87,114.34,85438.15,0.2,54.38,234371.66,8.0,157.9,10.03
EV,18.1,4.82,44263.98,0.13,66.12,151506.83,4.85,325.81,11.76
EV,15.44,1.34,49194.0,0.12,62.61,80873.64,5.09,321.4,10.27
ICE,6.42,129.95,76952.47,0.23,34.21,238055.02,10.33,170.56,6.77
EV,12.86,-1.85,38523.09,0.15,80.4,175008.1,7.08,252.93,11.71
EV,17.81,3.19,49807.4,0.13,79.58,142271.39,5.24,276.11,12.84
EV,17.1,2.45,60909.8,0.16,55.55,143485.24,5.85,244.34,10.82
EV,17.38,-4.03,48126.71,0.11,79.68,159638.74,4.37,319.95,10.7
ICE,6.48,131.43,52625.33,0.27,63.88,269787.29,12.69,142.59,9.99
ICE,4.88,106.87,92396.8,0.24,41.02,176883.68,8.7,215.16,11.25
EV,19.38,-5.73,55471.19,0.14,59.04,129490.97,5.22,203.3,13.77
ICE,7.34,195.46,93334.82,0.31,60.3,151258.29,8.66,191.59,12.22
ICE,6.86,143.55,108339.24,0.24,46.91,204269.2,7.03,193.37,11.31
EV,15.2,-5.12,47702.0,0.16,73.48,112813.13,3.3,181.05,10.73
ICE,7.18,188.71,69134.55,0.28,44.0,159125.38,9.58,183.33,6.4
ICE,8.43,172.32,75791.42,0.26,44.82,167099.12,9.17,145.69,10.85
ICE,6.25,116.86,116598.12,0.32,30.0,201102.72,7.56,169.11,9.88
ICE,7.77,141.64,103635.81,0.33,59.06,180768.14,5.53,211.78,8.54
EV,12.84,-8.8,49545.89,0.14,64.22,162850.26,4.59,323.05,10.03
EV,14.93,12.02,47714.0,0.11,67.57,200200.92,6.82,387.66,9.97
EV,16.04,7.97,48967.45,0.12,64.85,172398.34,4.52,368.32,12.53
EV,14.89,4.93,35944.33,0.13,69.65,197045.47,5.06,402.22,11.56
ICE,6.49,110.04,91034.83,0.23,67.08,124645.64,7.91,172.52,13.44
EV,11.95,1.89,50852.09,0.14,62.6,131966.2,4.16,356.05,11.6
ICE,7.9,73.47,86964.81,0.33,63.5,167967.43,6.78,235.32,10.43
EV,13.45,-4.42,62358.12,0.12,72.23,197668.21,5.57,274.73,12.47
ICE,8.1,151.75,80170.55,0.26,47.59,136927.32,5.72,185.61,7.37
EV,17.56,10.83,40824.97,0.1,45.02,176285.22,6.33,320.0,12.52
ICE,7.45,140.09,70368.09,0.33,42.53,192376.65,8.99,254.16,6.35
ICE,8.6,132.02,49792.63,0.25,42.96,232643.98,10.73,130.65,9.95
EV,16.03,-3.31,53556.13,0.14,41.45,134821.01,6.13,374.48,8.88
EV,15.24,3.71,41956.84,0.12,76.69,165499.33,5.8,335.66,9.41
EV,14.93,10.85,49663.87,0.09,58.17,168793.04,8.14,429.94,14.03
ICE,7.84,155.48,68048.28,0.23,50.55,233357.43,9.06,188.77,15.33
ICE,5.39,106.54,82695.43,0.32,53.76,177944.2,10.09,166.76,10.62
EV,16.21,-1.21,60450.88,0.13,68.71,87426.23,4.84,285.02,13.33
EV,17.71,-4.0,38103.33,0.12,83.12,179109.49,6.42,257.54,12.84
EV,11.68,6.7,51814.27,0.16,68.3,152838.63,6.69,356.39,10.58
ICE,6.54,114.07,87027.97,0.31,40.89,107349.34,11.75,269.34,8.37
EV,16.85,3.89,55706.13,0.16,60.41,171094.28,7.23,386.28,17.01
EV,13.8,1.97,38512.06,0.12,60.33,112116.91,5.82,296.64,13.56
ICE,10.1,178.17,79481.42,0.22,29.62,110329.44,7.75,123.71,11.33
EV,14.92,-1.6,55731.28,0.12,74.86,242948.98,7.54,232.98,10.97
ICE,9.92,203.5,54106.79,0.2,49.86,143295.36,9.0,229.42,11.77
EV,16.36,11.05,60075.14,0.12,70.09,178737.96,5.37,333.11,13.47
ICE,4.83,176.3,80658.62,0.29,53.49,248604.73,8.41,212.57,7.71
EV,16.74,-1.96,45335.05,0.16,67.94,173142.05,6.96,314.4,15.68
ICE,8.0,158.57,74144.08,0.18,51.62,155670.43,7.55,169.76,10.81
EV,16.42,1.42,57567.89,0.16,55.56,111955.9,4.24,288.31,16.07
EV,13.34,6.96,42820.81,0.08,78.71,83292.77,6.15,239.7,12.42
EV,19.38,-3.03,45865.35,0.14,72.95,168262.07,6.91,328.62,13.62
EV,15.49,5.43,33605.16,0.11,79.83,187336.95,5.57,374.77,12.95
ICE,9.04,178.44,83262.1,0.27,31.56,231941.65,12.79,205.15,11.24
EV,15.09,-7.97,47049.1,0.17,63.62,225027.01,6.82,246.21,13.42
ICE,5.36,174.04,60777.64,0.15,45.43,169791.75,9.04,194.26,6.87
ICE,6.81,149.21,79365.02,0.25,55.89,172492.24,10.85,207.13,10.06
EV,13.49,4.27,54663.58,0.11,62.88,116158.12,6.44,301.93,11.77
ICE,8.31,131.96,129316.42,0.26,52.61,252898.53,9.21,167.61,11.39
ICE,8.45,173.67,119037.2,0.33,41.82,185016.35,8.99,185.9,8.38
ICE,9.32,136.59,71040.82,0.28,62.35,176017.97,9.52,229.4,10.3
EV,15.37,5.2,36739.52,0.09,90.42,82517.03,6.06,330.46,10.14
EV,18.16,-5.45,62468.92,0.08,70.85,146729.3,4.5,297.06,9.84
EV,18.51,5.36,61695.9,0.12,59.14,114287.77,5.18,299.48,13.89
EV,13.85,-3.77,60352.49,0.12,75.85,84660.97,6.75,341.66,9.49
ICE,6.4,125.27,89142.65,0.22,51.51,92142.15,11.46,216.63,11.8
EV,15.56,-2.71,68486.09,0.12,72.11,123194.55,4.71,300.11,12.87
EV,14.38,5.86,58743.89,0.13,74.49,150583.75,7.03,298.63,11.42
EV,15.19,-3.54,53498.0,0.08,56.05,137684.45,3.65,260.2,12.99
ICE,6.89,124.17,83728.18,0.28,59.94,159384.25,9.29,129.63,7.91
ICE,7.16,137.34,72963.04,0.25,44.51,218643.71,9.83,187.51,8.76
EV,18.73,-3.44,46248.04,0.08,75.27,154120.57,5.84,358.39,12.36
EV,16.58,5.53,74126.15,0.11,63.92,108582.04,5.89,278.21,14.28
EV,22.71,8.75,49992.91,0.13,58.74,151869.94,5.34,357.73,12.69
ICE,6.11,141.97,78536.09,0.28,50.33,162487.12,10.79,203.42,10.25
ICE,8.87,154.2,110467.38,0.23,59.59,108152.09,8.97,223.61,7.84
ICE,1.62,177.12,51121.07,0.31,53.0,163953.07,7.11,164.56,13.71
EV,14.6,2.37,58876.55,0.12,65.35,120637.77,6.03,251.39,11.47
ICE,6.81,144.12,86392.35,0.26,41.71,209501.12,9.26,260.82,12.92
ICE,6.81,151.16,98566.07,0.28,57.57,199276.07,6.93,178.04,8.25
ICE,9.62,118.08,71158.65,0.3,37.54,188700.54,9.1,177.0,11.9
EV,14.5,-1.82,47706.09,0.13,82.55,177779.25,7.3,243.29,10.8
EV,16.26,3.0,58491.02,0.15,65.98,97593.13,6.11,276.32,11.75
EV,17.32,-2.37,47559.2,0.15,72.43,97606.0,5.3,270.15,12.4
ICE,9.11,154.94,90134.97,0.13,62.79,75315.48,6.75,192.38,9.43
ICE,5.77,116.87,76821.66,0.26,41.13,160121.47,7.73,272.74,6.76
EV,15.68,1.0,53721.05,0.18,72.09,207008.05,5.71,359.46,12.35
EV,16.09,-2.68,59375.7,0.11,76.33,145754.11,5.16,372.18,14.06
EV,13.07,-3.13,57324.92,0.21,72.87,209741.11,5.72,296.36,11.8
EV,13.91,-3.04,40516.52,0.13,65.29,105643.59,3.29,333.14,15.33
EV,12.99,0.32,49944.04,0.15,62.37,155951.81,5.51,323.73,12.13
ICE,7.72,186.69,78949.3,0.26,50.4,251870.14,11.26,196.79,11.82
EV,13.87,0.49,46075.29,0.1,56.0,216944.97,4.7,285.77,11.69
EV,13.86,-0.82,53341.76,0.17,78.08,164038.51,5.99,382.65,10.63
ICE,4.26,160.83,91016.39,0.3,57.57,155387.44,10.08,178.78,13.73
ICE,6.0,143.5,94448.4,0.25,32.93,200800.18,8.26,170.34,7.64
EV,13.71,1.73,59262.15,0.14,80.54,158675.51,5.5,195.96,11.28
ICE,8.6,76.92,65512.6,0.24,51.11,220192.87,10.38,250.69,6.25
ICE,7.05,199.82,99543.93,0.24,48.37,219918.17,10.96,254.46,7.57
ICE,9.4,124.46,94045.7,0.18,65.11,178484.29,9.94,145.96,10.39
ICE,6.76,109.99,109294.17,0.22,61.17,147847.01,9.47,163.54,10.66
ICE,7.57,114.48,81250.18,0.27,38.45,186640.75,7.92,161.38,10.26
EV,16.65,-1.4,70895.39,0.1,74.92,204042.9,5.74,317.98,14.24
EV,14.86,-6.47,25611.83,0.17,71.89,150941.88,5.16,280.78,14.33
ICE,8.69,156.5,69235.41,0.39,30.49,174016.59,8.15,190.7,9.95
EV,13.04,6.07,39127.54,0.09,49.78,137705.96,5.6,371.82,9.75
EV,16.74,-3.35,46402.31,0.11,46.28,227159.86,6.36,323.21,9.27
EV,13.49,2.51,38489.86,0.13,59.14,156068.41,6.52,314.67,11.46
ICE,9.09,119.86,80492.95,0.23,58.72,170560.8,8.52,248.19,9.43
EV,15.72,0.63,68043.48,0.13,72.44,140076.75,5.45,306.98,4.33
ICE,6.0,199.06,69222.74,0.24,63.41,124679.29,9.16,151.94,10.51
ICE,7.42,168.66,84544.58,0.27,33.95,202032.51,9.04,154.23,12.06
EV,14.77,-1.02,55844.13,0.21,78.92,124727.02,5.06,277.82,11.98
EV,11.89,2.05,52493.09,0.12,75.77,139703.82,5.75,261.91,15.49
ICE,7.47,81.51,57122.22,0.18,47.57,165606.38,7.16,189.45,8.33
ICE,8.8,111.37,62697.76,0.23,60.25,162886.63,9.25,203.92,11.53
EV,14.4,-2.14,62038.84,0.14,49.93,181114.77,5.1,402.99,14.27
EV,12.14,-4.52,53196.52,0.11,50.04,133562.84,6.97,303.92,9.86
EV,12.6,-3.25,66172.13,0.11,70.25,179161.71,5.4,334.95,10.59
ICE,9.74,146.47,102117.23,0.27,40.07,140413.63,8.45,129.27,8.35
ICE,8.77,194.92,65510.44,0.24,51.48,231759.57,9.44,212.95,10.85
EV,14.51,5.94,50720.37,0.06,68.85,120050.8,6.95,381.95,11.69
ICE,6.85,107.36,83398.14,0.2,47.76,151599.0,8.75,159.83,10.76
ICE,7.52,91.77,84714.01,0.23,49.75,155529.29,9.95,156.76,11.0
EV,17.71,-4.86,39960.43,0.16,60.36,171991.63,4.71,307.12,12.34
ICE,9.04,127.66,99745.17,0.25,45.65,200163.75,9.01,203.23,10.24
EV,14.89,3.67,33934.23,0.13,75.0,148198.87,6.53,331.54,13.02
ICE,5.62,185.58,60942.68,0.22,56.5,197520.21,7.31,199.05,7.94
EV,13.29,0.43,49364.75,0.11,59.2,196209.72,6.27,308.49,11.58
ICE,10.76,138.14,66265.52,0.22,46.27,227482.05,7.33,191.45,13.39
EV,13.91,8.64,19804.88,0.06,63.21,218312.59,5.68,356.87,5.72
ICE,9.29,176.36,107085.03,0.26,61.52,156623.61,9.59,172.56,9.9
EV,13.88,-12.65,48837.71,0.15,65.51,170171.68,6.02,254.69,9.3
EV,15.51,-4.13,53896.14,0.2,60.34,169160.31,5.25,242.29,12.02
ICE,5.28,154.34,71421.07,0.25,48.47,266012.43,11.87,191.91,9.87
ICE,9.92,119.69,54347.37,0.19,50.2,174633.87,7.76,216.71,8.61
ICE,8.83,119.34,105158.59,0.2,62.57,203780.36,8.89,165.17,9.86
ICE,6.72,107.4,81108.3,0.25,44.13,168634.42,8.26,193.65,9.63
EV,15.49,0.02,54209.73,0.11,71.92,162834.43,5.89,320.6,11.97
EV,16.9,0.16,58901.98,0.15,71.46,110078.85,6.84,321.96,10.82
EV,17.01,-5.85,37542.83,0.12,67.81,113027.06,5.48,263.2,12.66
EV,15.92,0.71,39141.75,0.16,68.99,173500.76,6.08,264.8,12.76
EV,14.72,7.51,58297.32,0.12,66.15,184508.02,6.31,334.97,8.59
EV,15.96,-2.13,54572.8,0.16,69.83,161710.99,4.56,234.35,13.39
EV,19.29,-4.02,37888.28,0.08,54.37,159234.97,5.78,268.59,14.11
ICE,7.02,160.66,86127.28,0.26,64.59,183574.43,8.34,116.7,12.16
EV,16.36,-5.33,58389.41,0.12,58.73,104698.76,8.32,253.59,11.62
ICE,4.39,120.8,96100.5,0.23,65.86,150817.08,10.33,239.37,10.02
EV,13.12,2.93,47655.92,0.1,71.0,203045.08,5.54,275.8,16.42
EV,13.64,-3.19,50208.86,0.03,70.86,165543.05,5.23,256.17,10.99
EV,13.55,-3.06,47438.2,0.07,69.76,163562.04,6.87,352.0,11.31
ICE,8.09,138.07,58783.05,0.21,66.75,226342.62,10.18,161.55,4.89
ICE,6.58,163.8,58236.31,0.2,56.95,166736.25,9.67,186.23,9.14
ICE,8.17,158.38,89421.18,0.28,35.11,194480.98,9.62,129.75,10.21
EV,15.9,1.12,38937.06,0.13,75.03,211614.56,6.1,280.98,11.4
EV,13.05,-12.5,38885.42,0.1,70.13,158190.32,6.14,313.61,11.72
ICE,5.32,130.67,94932.9,0.18,59.15,174080.45,10.4,257.2,8.33
EV,13.95,7.05,49379.96,0.13,77.98,151031.26,5.99,288.95,12.67
EV,15.95,-4.91,35760.43,0.08,93.49,138931.82,6.42,196.73,13.11
EV,16.91,-3.59,58823.33,0.17,77.98,144741.16,5.52,235.45,10.43
ICE,5.55,165.54,78060.54,0.29,40.02,256771.25,11.33,230.57,9.73
EV,13.86,-3.35,44868.04,0.12,93.44,96053.56,7.69,257.25,10.67
EV,16.01,-2.91,69764.41,0.07,64.1,172526.18,7.33,257.31,11.65
EV,18.6,-0.76,44296.49,0.06,81.19,186715.68,5.92,281.0,12.59
ICE,7.02,126.85,82567.81,0.25,50.51,232848.45,4.69,234.23,13.31
ICE,9.73,124.69,67997.37,0.27,58.66,255633.62,8.19,187.07,8.79
EV,14.53,1.73,58178.9,0.14,70.72,152042.17,5.28,229.65,12.33
ICE,8.36,121.32,77460.07,0.29,68.86,209691.54,10.34,228.51,8.99
EV,16.01,13.01,42842.4,0.1,72.97,116756.63,5.38,351.08,10.75
EV,16.4,6.57,56227.11,0.12,77.22,175596.05,6.16,235.09,14.92
ICE,6.58,170.54,71930.84,0.2,56.1,84320.72,9.46,219.71,10.85
EV,14.74,3.61,43941.39,0.11,58.05,208795.12,6.69,288.73,11.36
ICE,9.75,104.28,76223.32,0.29,35.16,168359.14,8.43,167.98,8.2
ICE,8.48,150.49,67502.88,0.3,65.53,154478.79,10.37,120.54,11.59
ICE,10.01,162.57,83052.23,0.29,58.8,141601.1,10.18,244.92,14.04
ICE,4.71,125.09,62559.34,0.27,34.47,121008.86,10.63,225.01,6.98
ICE,5.67,122.17,81567.71,0.27,54.81,212235.91,8.03,167.33,9.64
ICE,7.32,134.55,86283.67,0.35,26.22,207877.23,11.22,247.63,13.71
ICE,8.85,153.01,112567.89,0.23,45.61,141582.12,9.59,139.28,10.82
EV,16.3,0.3,42075.8,0.11,70.18,96130.7,5.06,335.74,11.66
EV,15.46,-6.62,52307.01,0.11,62.53,134123.97,5.13,333.02,8.96
ICE,5.27,77.47,58159.3,0.22,54.35,122184.01,7.47,238.45,6.91
EV,12.33,-0.42,43502.35,0.11,72.92,129465.25,6.01,350.76,13.91
EV,14.28,2.93,39833.17,0.14,69.17,152051.15,6.47,320.48,13.02
ICE,6.56,142.6,102528.19,0.25,36.88,170644.82,8.96,199.15,10.49
