energy_consumption,co2_emissions_g_per_km,maintenance_cost_annual,cost_per_km,energy_storage_capacity,mileage_km,acceleration_0_100_kph_sec,torque_Nm,lifespan_years,efficiency
17.71,-4.86,39960.43,0.16,60.36,171991.63,4.71,307.12,12.34,9711.554488989272
14.89,3.67,33934.23,0.13,75.0,148198.87,6.53,331.54,13.02,9952.912693082606
13.29,0.43,49364.75,0.11,59.2,196209.72,6.27,308.49,11.58,14763.711060948082
13.91,8.64,19804.88,0.06,63.21,218312.59,5.68,356.87,5.72,15694.65061107117
13.88,-12.65,48837.71,0.15,65.51,170171.68,6.02,254.69,9.3,12260.207492795387
15.51,-4.13,53896.14,0.2,60.34,169160.31,5.25,242.29,12.02,10906.531914893618
15.49,0.02,54209.73,0.11,71.92,162834.43,5.89,320.6,11.97,10512.229180116203
16.9,0.16,58901.98,0.15,71.46,110078.85,6.84,321.96,10.82,6513.541420118344
17.01,-5.85,37542.83,0.12,67.81,113027.06,5.48,263.2,12.66,6644.741916519693
15.92,0.71,39141.75,0.16,68.99,173500.76,6.08,264.8,12.76,10898.28894472362
14.72,7.51,58297.32,0.12,66.15,184508.02,6.31,334.97,8.59,12534.512228260868
15.96,-2.13,54572.8,0.16,69.83,161710.99,4.56,234.35,13.39,10132.267543859649
19.29,-4.02,37888.28,0.08,54.37,159234.97,5.78,268.59,14.11,8254.793675479523
16.36,-5.33,58389.41,0.12,58.73,104698.76,8.32,253.59,11.62,6399.679706601467
13.12,2.93,47655.92,0.1,71.0,203045.08,5.54,275.8,16.42,15475.996951219513
13.64,-3.19,50208.86,0.03,70.86,165543.05,5.23,256.17,10.99,12136.587243401758
13.55,-3.06,47438.2,0.07,69.76,163562.04,6.87,352.0,11.31,12070.99926199262
15.9,1.12,38937.06,0.13,75.03,211614.56,6.1,280.98,11.4,13309.09182389937
13.05,-12.5,38885.42,0.1,70.13,158190.32,6.14,313.61,11.72,12121.863601532566
13.95,7.05,49379.96,0.13,77.98,151031.26,5.99,288.95,12.67,10826.613620071686
15.95,-4.91,35760.43,0.08,93.49,138931.82,6.42,196.73,13.11,8710.458934169279
16.91,-3.59,58823.33,0.17,77.98,144741.16,5.52,235.45,10.43,8559.500887049084
13.86,-3.35,44868.04,0.12,93.44,96053.56,7.69,257.25,10.67,6930.2712842712845
16.01,-2.91,69764.41,0.07,64.1,172526.18,7.33,257.31,11.65,10776.151155527794
18.6,-0.76,44296.49,0.06,81.19,186715.68,5.92,281.0,12.59,10038.477419354838
14.53,1.73,58178.9,0.14,70.72,152042.17,5.28,229.65,12.33,10464.017205781143
16.01,13.01,42842.4,0.1,72.97,116756.63,5.38,351.08,10.75,7292.731417863834
16.4,6.57,56227.11,0.12,77.22,175596.05,6.16,235.09,14.92,10707.076219512195
14.74,3.61,43941.39,0.11,58.05,208795.12,6.69,288.73,11.36,14165.204884667572
16.3,0.3,42075.8,0.11,70.18,96130.7,5.06,335.74,11.66,5897.588957055214
15.46,-6.62,52307.01,0.11,62.53,134123.97,5.13,333.02,8.96,8675.54786545925
12.33,-0.42,43502.35,0.11,72.92,129465.25,6.01,350.76,13.91,10500.020275750203
14.28,2.93,39833.17,0.14,69.17,152051.15,6.47,320.48,13.02,10647.839635854341
15.73,-2.64,52942.24,0.12,61.22,109506.81,5.23,338.81,13.33,6961.653528289891
12.5,-3.39,36877.81,0.13,82.73,127644.97,7.13,229.55,9.2,10211.597600000001
15.45,5.74,64558.22,0.15,68.94,145382.84,5.77,319.7,15.17,9409.892556634304
13.57,5.05,43836.39,0.07,67.83,149673.99,6.45,196.43,11.23,11029.77081798084
16.94,-0.19,53004.74,0.14,84.21,128826.8,6.09,383.86,13.69,7604.887839433293
15.37,0.63,52439.53,0.1,73.12,137776.2,6.68,215.96,11.07,8963.968770331816
19.54,0.31,62235.69,0.08,77.84,161733.84,4.46,368.22,13.26,8277.064483111566
12.1,-12.77,45211.63,0.11,69.53,141755.93,5.57,258.89,11.25,11715.36611570248
18.39,-4.87,65634.13,0.12,69.61,206962.05,5.71,256.12,10.25,11254.05383360522
12.75,-2.74,64769.34,0.15,76.86,105194.71,7.87,332.91,11.86,8250.565490196079
12.88,3.24,55054.7,0.09,41.61,166153.05,5.11,250.88,13.57,12900.081521739128
15.14,2.11,50196.17,0.12,70.02,175315.19,5.45,290.77,13.17,11579.603038309115
17.49,-1.19,43032.28,0.15,76.52,224922.45,6.24,337.49,14.24,12860.06003430532
15.99,7.0,43248.22,0.06,61.37,137287.21,4.89,339.26,11.93,8585.816760475296
12.14,5.67,52700.57,0.16,84.53,132232.77,6.83,356.64,14.99,10892.320428336077
14.5,3.24,57215.63,0.08,75.14,199102.2,6.62,386.52,10.85,13731.186206896553
16.57,-4.86,52640.2,0.16,58.02,120046.77,4.68,253.55,11.39,7244.826191913096
16.95,-1.85,51935.9,0.11,67.63,137283.3,6.6,334.35,10.02,8099.309734513274
12.5,-7.07,61925.08,0.18,74.94,125441.85,6.14,267.17,11.61,10035.348
12.24,8.04,58260.47,0.08,67.27,185519.62,5.72,297.1,12.39,15156.831699346405
17.89,8.06,67388.51,0.09,76.59,156568.92,5.16,307.76,12.17,8751.756288429291
14.1,4.98,66734.52,0.13,68.75,124453.8,6.52,261.39,14.7,8826.510638297872
14.16,-14.48,40979.48,0.15,62.21,165050.55,6.23,293.63,10.64,11656.112288135593
15.76,0.46,38322.2,0.08,68.58,86281.57,5.15,280.24,11.43,5474.718908629442
16.66,-4.14,41999.61,0.16,65.4,185584.36,5.12,319.82,10.6,11139.517406962785
17.96,-1.61,35561.45,0.06,86.79,152534.0,7.22,261.03,10.94,8492.984409799554
17.61,6.88,50508.88,0.06,86.38,166092.42,5.95,319.78,10.53,9431.71039182283
14.52,-2.32,54692.68,0.19,62.04,187654.37,5.48,275.01,9.76,12923.854683195592
15.37,-3.1,56686.55,0.14,66.24,93796.76,8.56,277.14,10.98,6102.586857514639
13.21,6.09,49284.01,0.07,58.46,142351.59,4.64,336.22,14.29,10776.047691143072
16.84,4.17,65111.55,0.13,72.11,133842.79,5.64,263.15,9.89,7947.909144893112
14.79,3.77,44199.47,0.15,58.43,131140.37,4.82,254.52,14.01,8866.826910074375
13.12,0.2,54724.06,0.1,63.74,174817.08,7.58,307.84,11.11,13324.47256097561
17.16,-7.29,46480.79,0.1,66.94,167734.08,5.58,302.98,12.45,9774.713286713286
16.63,2.99,37608.93,0.13,78.91,129229.48,6.04,273.6,8.77,7770.8647023451595
15.96,2.18,49571.77,0.19,75.46,127384.14,7.47,262.23,15.87,7981.462406015037
12.24,0.24,40435.64,0.09,71.11,221451.41,4.84,212.82,11.2,18092.43545751634
11.74,9.42,54200.94,0.11,56.12,183558.97,5.66,350.8,11.35,15635.34667802385
15.67,4.52,50580.23,0.08,48.28,161479.61,5.38,294.9,12.27,10305.016592214422
16.25,-6.05,56955.38,0.09,86.99,164267.65,7.39,231.22,12.11,10108.77846153846
11.55,8.68,58294.75,0.1,69.21,152298.27,6.48,284.55,11.25,13185.9974025974
13.16,1.17,40755.34,0.1,58.14,146411.41,5.25,337.23,10.79,11125.48708206687
15.05,5.81,55581.4,0.13,74.15,106029.78,4.51,329.97,13.77,7045.168106312292
15.39,2.61,44710.22,0.12,68.77,151046.64,6.5,260.99,12.51,9814.59649122807
16.03,-0.98,64524.68,0.12,66.13,128592.46,5.96,343.26,10.96,8021.987523393636
13.56,-6.83,56934.79,0.14,60.6,90033.33,4.83,254.98,13.17,6639.62610619469
15.14,2.54,36735.28,0.1,47.82,114626.75,5.77,287.61,10.98,7571.1195508586525
15.98,-5.14,39026.97,0.14,75.31,133644.41,6.44,373.26,10.52,8363.229662077598
14.55,-2.87,52773.77,0.11,55.76,127946.5,6.4,218.73,10.87,8793.57388316151
17.22,-0.07,53829.89,0.15,76.36,139476.65,5.9,286.59,11.47,8099.689314750291
12.99,4.77,65628.89,0.15,75.88,116904.47,4.85,332.1,11.03,8999.57428791378
15.14,0.96,56663.13,0.12,69.32,126723.76,4.79,295.87,10.27,8370.129458388374
15.61,-1.45,64015.99,0.09,71.26,172764.73,4.87,247.06,12.75,11067.567584881488
15.54,-5.71,54818.66,0.16,58.13,154066.9,7.55,387.24,12.01,9914.21492921493
14.36,-1.51,50497.74,0.12,75.03,125954.17,5.56,213.11,9.29,8771.181754874651
15.27,-5.36,48053.03,0.11,75.87,169323.71,6.43,237.17,9.82,11088.651604453176
13.98,-5.05,27531.11,0.15,71.58,97716.84,7.33,266.96,11.6,6989.75965665236
13.0,0.54,66259.59,0.13,62.41,193332.37,4.23,296.11,9.3,14871.72076923077
18.01,-2.52,37674.77,0.14,86.65,171497.68,5.79,275.8,10.63,9522.358689616878
15.68,-1.13,41317.07,0.06,69.21,148092.79,5.72,342.76,13.89,9444.693239795919
13.91,-10.86,54998.64,0.13,74.1,175702.12,7.43,287.63,9.66,12631.352983465133
11.77,2.07,48187.76,0.14,81.79,122136.24,7.88,455.88,12.9,10376.910790144435
12.74,-0.12,46979.55,0.11,64.24,139745.35,6.27,259.72,12.21,10969.022762951334
15.65,-7.39,32237.65,0.13,75.91,95788.76,4.02,240.41,10.87,6120.6875399361015
13.15,-13.52,67554.76,0.1,81.04,148642.37,6.89,301.09,13.76,11303.602281368821
16.08,10.03,58132.05,0.18,86.77,111729.52,6.38,274.99,13.48,6948.353233830847
13.2,2.3,31538.12,0.07,75.15,129017.56,4.06,364.14,12.79,9774.057575757575
14.16,-1.36,59242.7,0.08,76.55,173253.45,7.4,289.32,14.33,12235.41313559322
16.19,0.63,53338.6,0.15,68.09,201330.86,6.52,330.92,11.93,12435.50710315009
13.85,2.22,47906.86,0.11,73.87,153742.56,5.34,331.07,10.87,11100.545848375452
11.69,-2.02,60715.43,0.13,40.86,171210.97,5.61,279.11,9.66,14645.934131736527
16.67,-0.14,42904.2,0.13,59.6,200675.67,6.28,330.49,11.36,12038.132573485302
15.66,2.72,52625.61,0.08,79.62,145844.63,8.64,397.66,12.37,9313.194763729247
13.34,7.39,36775.42,0.1,69.3,145747.27,7.42,275.05,13.19,10925.582458770614
19.6,-1.12,49511.03,0.12,61.54,116555.33,5.13,275.29,12.53,5946.700510204081
14.81,-8.01,43684.22,0.14,73.84,107855.49,7.67,330.36,13.16,7282.612424037812
21.16,-4.44,36613.94,0.15,56.06,135530.59,5.76,395.93,16.43,6405.037334593572
15.92,-3.76,37038.83,0.09,63.49,208267.37,4.87,268.11,11.4,13082.12123115578
12.93,10.31,47210.37,0.14,61.95,146143.61,7.0,274.19,13.07,11302.67672080433
11.57,-6.74,40781.4,0.14,60.99,157188.83,6.12,369.43,13.85,13585.897147796022
16.97,-0.17,72187.8,0.09,83.51,113169.6,5.42,286.2,14.84,6668.803771361227
13.36,0.8,56988.28,0.14,79.41,118384.94,5.07,270.02,12.17,8861.148203592815
16.22,1.3,46962.74,0.1,71.95,141860.55,6.85,316.23,11.02,8746.026510480888
16.86,-3.36,41807.42,0.09,72.06,116354.1,7.5,213.7,12.93,6901.1921708185055
12.04,-0.86,41775.8,0.14,79.32,174841.76,6.11,339.9,13.91,14521.740863787378
12.78,6.09,53496.5,0.12,76.93,155388.67,6.03,289.27,12.41,12158.737871674493
13.61,-0.49,55225.14,0.09,54.73,144926.32,6.68,279.05,14.05,10648.517266715651
13.88,8.48,42534.22,0.11,60.25,145072.74,6.03,289.78,15.14,10451.926512968299
16.52,6.24,52658.78,0.17,75.58,165128.64,4.36,328.19,12.48,9995.680387409202
15.98,1.62,57318.71,0.16,63.01,151434.76,5.95,377.11,13.66,9476.518147684606
16.12,0.41,45127.97,0.13,97.55,145857.53,6.68,309.67,9.59,9048.23387096774
13.41,2.34,54329.6,0.13,75.84,99864.91,5.63,323.53,15.85,7447.047725577927
16.94,-4.2,49565.23,0.13,79.46,147267.72,6.14,351.46,10.26,8693.489964580873
15.12,-1.48,58545.25,0.13,91.55,125826.01,7.82,283.33,9.65,8321.826058201059
11.62,2.42,52965.76,0.14,54.55,127785.3,4.43,353.65,9.34,10997.013769363168
15.17,-7.78,56157.71,0.14,66.37,151238.62,4.72,340.04,11.83,9969.586025049439
10.92,0.33,40041.85,0.13,78.52,182631.31,7.48,282.08,14.46,16724.478937728938
15.46,-7.42,60971.53,0.17,70.27,200245.79,6.08,249.1,12.66,12952.509055627426
14.46,3.1,43933.0,0.09,67.22,162283.16,5.5,221.35,11.13,11222.901798063624
16.36,-3.98,32141.34,0.13,50.51,142254.75,7.57,284.01,13.8,8695.278117359414
15.62,2.57,69541.57,0.15,80.07,136983.8,6.57,291.4,11.38,8769.7695262484
10.92,3.77,56021.18,0.11,76.83,159191.68,6.96,298.79,13.78,14577.992673992674
15.68,6.51,47695.99,0.1,63.14,190530.47,5.98,284.2,15.26,12151.177933673469
14.06,4.75,28466.57,0.09,63.46,140115.32,6.03,277.43,8.02,9965.52773826458
12.42,10.31,39674.76,0.12,49.83,139807.23,5.6,371.78,13.02,11256.62077294686
13.4,-0.7,61254.35,0.15,78.86,152343.53,6.35,285.11,8.25,11368.92014925373
17.69,-3.34,64104.59,0.12,77.72,164299.53,5.96,263.41,14.38,9287.70661390616
14.86,1.6,45438.79,0.13,49.1,97583.35,4.9,297.11,13.36,6566.847240915209
14.81,-0.6,65323.68,0.08,75.93,118915.69,7.43,233.34,11.09,8029.418636056718
14.1,5.62,62637.07,0.14,83.78,199599.29,6.32,250.61,12.61,14155.978014184398
14.31,10.44,41303.37,0.17,83.51,157449.75,4.87,305.13,11.04,11002.777777777777
18.1,0.29,55514.76,0.15,72.62,138526.43,4.72,339.1,11.87,7653.393922651932
16.88,9.51,51838.35,0.08,75.07,158856.98,5.05,258.32,10.37,9410.958530805688
15.7,4.04,63414.76,0.15,65.12,143082.41,5.78,219.21,13.81,9113.529299363057
14.93,-3.06,47566.16,0.09,50.89,155529.27,6.39,310.89,13.41,10417.23174815807
15.19,-0.36,53267.45,0.07,59.01,95377.19,6.75,276.16,9.9,6278.946017116525
14.22,3.66,60391.12,0.09,82.35,146546.71,6.07,333.76,12.08,10305.67580872011
14.96,-2.88,62119.44,0.1,74.04,133812.26,3.92,365.56,16.39,8944.669786096258
14.13,-9.02,49045.36,0.09,67.37,185315.55,5.14,291.97,12.8,13115.04246284501
15.75,-1.43,52147.13,0.13,72.39,154999.67,4.87,307.1,11.4,9841.24888888889
12.41,-5.34,53979.27,0.13,41.68,156948.22,5.96,208.58,10.77,12646.91539081386
15.62,2.1,64532.61,0.06,77.57,149406.17,5.09,309.77,8.9,9565.055697823305
13.85,-0.41,48745.46,0.13,68.22,185865.94,6.15,241.14,11.14,13419.923465703972
16.83,5.15,44918.6,0.12,78.6,149489.82,5.69,306.9,8.03,8882.342245989306
13.89,6.45,54996.85,0.12,54.48,118910.72,5.3,269.16,10.27,8560.886969042476
16.95,0.74,58903.83,0.16,74.73,126847.78,5.89,312.09,14.06,7483.644837758113
12.31,3.54,32961.28,0.11,78.69,142906.53,6.44,290.32,11.23,11608.978878960195
14.53,1.97,52132.94,0.08,75.93,111773.04,6.84,338.85,13.14,7692.569855471438
14.52,-8.87,62059.95,0.14,72.4,154097.92,4.67,229.22,12.48,10612.8044077135
14.92,-0.97,31793.97,0.18,67.06,160138.67,5.94,279.76,13.07,10733.154825737267
